episode;reward1;avg_reward1;t_global;cr
238;72.0;56.4;15024.0;7511.0
239;88.0;57.1;15200.0;7599.0
240;81.0;57.7;15362.0;7680.0
241;77.0;58.2;15516.0;7757.0
242;92.0;59.0;15700.0;7849.0
243;67.0;59.5;15834.0;7916.0
244;85.0;60.1;16004.0;8001.0
245;64.0;60.4;16132.0;8065.0
246;102.0;61.2;16336.0;8167.0
247;62.0;61.4;16460.0;8229.0
248;91.0;62.2;16642.0;8320.0
249;100.0;62.8;16842.0;8420.0
250;85.0;63.5;17012.0;8505.0
251;98.0;63.7;17207.0;8603.0
252;135.0;64.4;17477.0;8738.0
253;87.0;64.8;17651.0;8825.0
254;112.0;65.5;17875.0;8937.0
255;151.0;66.7;18177.0;9088.0
256;131.0;67.9;18439.0;9219.0
257;141.0;68.8;18721.0;9360.0
258;147.0;69.5;19015.0;9507.0
259;124.0;70.5;19263.0;9631.0
260;162.0;71.9;19586.0;9793.0
261;141.0;73.2;19868.0;9934.0
262;165.0;74.5;20198.0;10099.0
263;125.0;75.4;20448.0;10224.0
264;125.0;76.2;20698.0;10349.0
265;146.0;77.4;20990.0;10495.0
266;132.0;78.5;21254.0;10627.0
267;137.0;79.7;21528.0;10764.0
268;160.0;81.1;21848.0;10924.0
269;149.0;82.0;22146.0;11073.0
270;164.0;83.2;22474.0;11237.0
271;138.0;84.4;22750.0;11375.0
272;147.0;85.5;23044.0;11522.0
273;178.0;86.8;23400.0;11700.0
274;158.0;87.6;23716.0;11858.0
275;150.0;88.0;24016.0;12008.0
276;196.0;89.2;24408.0;12204.0
277;151.0;90.1;24710.0;12355.0
278;200.0;91.8;25110.0;12555.0
279;200.0;92.8;25510.0;12755.0
280;169.0;94.2;25848.0;12924.0
281;182.0;95.6;26212.0;13106.0
282;166.0;96.5;26544.0;13272.0
283;180.0;97.8;26904.0;13452.0
284;173.0;99.2;27250.0;13625.0
285;200.0;100.4;27649.0;13825.0
286;180.0;101.2;28009.0;14005.0
287;157.0;101.7;28323.0;14162.0
288;166.0;102.5;28654.0;14328.0
289;172.0;103.7;28998.0;14500.0
290;158.0;104.7;29314.0;14658.0
291;200.0;106.6;29714.0;14858.0
292;200.0;108.2;30114.0;15058.0
293;160.0;109.5;30434.0;15218.0
294;191.0;111.2;30816.0;15409.0
295;200.0;112.4;31216.0;15609.0
296;179.0;113.5;31574.0;15788.0
297;149.0;114.2;31872.0;15937.0
298;173.0;115.0;32218.0;16110.0
299;200.0;116.4;32618.0;16310.0
300;174.0;117.5;32966.0;16484.0
301;154.0;118.4;33274.0;16638.0
302;200.0;119.4;33674.0;16838.0
303;200.0;120.2;34074.0;17038.0
304;200.0;121.6;34474.0;17238.0
305;200.0;122.1;34874.0;17438.0
306;200.0;123.4;35274.0;17638.0
307;200.0;124.3;35674.0;17838.0
308;188.0;125.8;36050.0;18026.0
309;200.0;127.4;36450.0;18226.0
310;194.0;128.7;36838.0;18420.0
311;200.0;130.3;37238.0;18620.0
312;184.0;131.6;37606.0;18804.0
313;200.0;132.9;38006.0;19004.0
314;200.0;134.3;38406.0;19204.0
315;200.0;135.9;38806.0;19404.0
316;200.0;137.7;39205.0;19604.0
317;200.0;139.2;39605.0;19804.0
318;193.0;140.8;39991.0;19997.0
319;177.0;142.4;40345.0;20174.0
320;200.0;143.8;40745.0;20374.0
321;200.0;144.5;41145.0;20574.0
322;200.0;145.7;41545.0;20774.0
323;200.0;146.8;41945.0;20974.0
324;200.0;146.8;42345.0;21174.0
325;200.0;148.2;42745.0;21374.0
326;200.0;149.6;43145.0;21574.0
327;200.0;151.1;43545.0;21774.0
328;200.0;152.4;43945.0;21974.0
329;200.0;153.5;44345.0;22174.0
330;200.0;155.1;44745.0;22374.0
331;200.0;156.5;45145.0;22574.0
332;200.0;157.7;45545.0;22774.0
333;200.0;159.3;45945.0;22974.0
334;200.0;160.6;46344.0;23174.0
335;200.0;162.1;46744.0;23374.0
336;200.0;162.2;47144.0;23574.0
337;200.0;163.4;47544.0;23774.0
338;200.0;164.6;47944.0;23974.0
339;200.0;165.8;48343.0;24174.0
340;200.0;166.9;48743.0;24374.0
341;200.0;168.2;49143.0;24574.0
342;200.0;169.2;49543.0;24774.0
343;200.0;170.6;49943.0;24974.0
344;200.0;171.7;50343.0;25174.0
345;200.0;173.1;50743.0;25374.0
346;200.0;174.1;51143.0;25574.0
347;200.0;175.4;51543.0;25774.0
348;200.0;176.5;51943.0;25974.0
349;200.0;177.5;52343.0;26174.0
350;200.0;178.7;52743.0;26374.0
351;200.0;179.7;53143.0;26574.0
352;200.0;180.4;53542.0;26774.0
353;200.0;181.5;53942.0;26974.0
354;200.0;182.4;54342.0;27174.0
355;200.0;182.9;54742.0;27374.0
356;200.0;183.6;55142.0;27574.0
357;200.0;184.1;55542.0;27774.0
358;200.0;184.7;55942.0;27974.0
359;200.0;185.4;56342.0;28174.0
360;200.0;185.8;56742.0;28374.0
361;200.0;186.4;57142.0;28574.0
362;200.0;186.8;57542.0;28774.0
363;200.0;187.5;57942.0;28974.0
364;200.0;188.2;58342.0;29174.0
365;200.0;188.8;58742.0;29374.0
366;200.0;189.5;59141.0;29574.0
367;200.0;190.1;59541.0;29774.0
368;200.0;190.5;59941.0;29974.0
369;200.0;191.0;60341.0;30174.0
370;200.0;191.4;60741.0;30374.0
371;200.0;192.0;61141.0;30574.0
372;200.0;192.5;61541.0;30774.0
373;200.0;192.7;61941.0;30974.0
374;200.0;193.2;62341.0;31174.0
375;200.0;193.7;62741.0;31374.0
376;200.0;193.7;63141.0;31574.0
377;200.0;194.2;63541.0;31774.0
378;200.0;194.2;63941.0;31974.0
379;200.0;194.2;64341.0;32174.0
380;200.0;194.5;64741.0;32374.0
381;200.0;194.7;65141.0;32574.0
382;200.0;195.0;65540.0;32774.0
383;200.0;195.2;65940.0;32974.0
384;200.0;195.5;66340.0;33174.0
385;200.0;195.5;66740.0;33374.0
386;200.0;195.7;67140.0;33574.0
387;200.0;196.1;67540.0;33774.0
388;200.0;196.5;67940.0;33974.0
389;200.0;196.7;68340.0;34174.0
390;200.0;197.2;68740.0;34374.0
391;200.0;197.2;69140.0;34574.0
392;200.0;197.2;69540.0;34774.0
393;200.0;197.6;69940.0;34974.0
394;200.0;197.6;70340.0;35174.0
395;200.0;197.6;70740.0;35374.0
396;200.0;197.9;71140.0;35574.0
397;200.0;198.4;71540.0;35774.0
398;200.0;198.6;71940.0;35974.0
399;200.0;198.6;72340.0;36174.0
400;200.0;198.9;72740.0;36374.0
401;200.0;199.4;73140.0;36574.0
402;200.0;199.4;73540.0;36774.0
403;200.0;199.4;73940.0;36974.0
404;200.0;199.4;74340.0;37174.0
405;200.0;199.4;74739.0;37374.0
406;200.0;199.4;75139.0;37574.0
407;200.0;199.4;75539.0;37774.0
408;200.0;199.5;75939.0;37974.0
409;188.0;199.4;76315.0;38162.0
410;200.0;199.4;76715.0;38362.0
411;200.0;199.4;77115.0;38562.0
412;200.0;199.6;77515.0;38762.0
413;200.0;199.6;77915.0;38962.0
414;200.0;199.6;78315.0;39162.0
415;200.0;199.6;78715.0;39362.0
416;200.0;199.6;79115.0;39562.0
417;200.0;199.6;79515.0;39762.0
418;200.0;199.6;79915.0;39962.0
419;200.0;199.9;80315.0;40162.0
420;200.0;199.9;80715.0;40362.0
421;200.0;199.9;81115.0;40562.0
422;200.0;199.9;81515.0;40762.0
423;200.0;199.9;81915.0;40962.0
424;200.0;199.9;82315.0;41162.0
425;200.0;199.9;82715.0;41362.0
426;200.0;199.9;83115.0;41562.0
427;200.0;199.9;83515.0;41762.0
428;200.0;199.9;83915.0;41962.0
429;200.0;199.9;84315.0;42162.0
430;200.0;199.9;84714.0;42362.0
431;200.0;199.9;85114.0;42562.0
432;200.0;199.9;85514.0;42762.0
433;200.0;199.9;85914.0;42962.0
434;200.0;199.9;86314.0;43162.0
435;200.0;199.9;86714.0;43362.0
436;200.0;199.9;87114.0;43562.0
437;200.0;199.9;87514.0;43762.0
438;200.0;199.9;87914.0;43962.0
439;200.0;199.9;88314.0;44162.0
440;200.0;199.9;88714.0;44362.0
441;179.0;199.7;89072.0;44541.0
442;200.0;199.7;89472.0;44741.0
443;200.0;199.7;89872.0;44941.0
444;200.0;199.7;90272.0;45141.0
445;200.0;199.7;90672.0;45341.0
446;200.0;199.7;91072.0;45541.0
447;200.0;199.7;91472.0;45741.0
448;200.0;199.7;91871.0;45941.0
449;200.0;199.7;92271.0;46141.0
450;200.0;199.7;92671.0;46341.0
451;200.0;199.7;93071.0;46541.0
452;188.0;199.6;93447.0;46729.0
453;166.0;199.2;93779.0;46895.0
454;200.0;199.2;94179.0;47095.0
455;185.0;199.1;94549.0;47280.0
456;200.0;199.1;94949.0;47480.0
457;200.0;199.1;95349.0;47680.0
458;200.0;199.1;95749.0;47880.0
459;173.0;198.8;96095.0;48053.0
460;200.0;198.8;96495.0;48253.0
461;165.0;198.4;96825.0;48418.0
462;200.0;198.4;97225.0;48618.0
463;200.0;198.4;97625.0;48818.0
464;200.0;198.4;98025.0;49018.0
465;174.0;198.2;98373.0;49192.0
466;172.0;197.9;98717.0;49364.0
467;200.0;197.9;99117.0;49564.0
468;200.0;197.9;99517.0;49764.0
469;200.0;197.9;99917.0;49964.0
470;162.0;197.5;100241.0;50126.0
471;156.0;197.1;100553.0;50282.0
472;157.0;196.6;100867.0;50439.0
473;200.0;196.6;101267.0;50639.0
474;179.0;196.4;101625.0;50818.0
475;200.0;196.4;102025.0;51018.0
476;200.0;196.4;102425.0;51218.0
477;200.0;196.4;102825.0;51418.0
478;200.0;196.4;103225.0;51618.0
479;200.0;196.4;103625.0;51818.0
480;200.0;196.4;104025.0;52018.0
481;200.0;196.4;104425.0;52218.0
482;188.0;196.3;104801.0;52406.0
483;200.0;196.3;105201.0;52606.0
484;200.0;196.3;105600.0;52806.0
485;200.0;196.3;106000.0;53006.0
486;200.0;196.3;106400.0;53206.0
487;200.0;196.3;106800.0;53406.0
488;200.0;196.3;107200.0;53606.0
489;200.0;196.3;107600.0;53806.0
490;200.0;196.3;107999.0;54006.0
491;200.0;196.3;108399.0;54206.0
492;200.0;196.3;108799.0;54406.0
493;200.0;196.3;109199.0;54606.0
494;200.0;196.3;109598.0;54806.0
495;200.0;196.3;109998.0;55006.0
496;200.0;196.3;110398.0;55206.0
497;200.0;196.3;110798.0;55406.0
498;200.0;196.3;111198.0;55606.0
499;200.0;196.3;111598.0;55806.0
500;200.0;196.3;111998.0;56006.0
501;200.0;196.3;112398.0;56206.0
502;200.0;196.3;112798.0;56406.0
503;200.0;196.3;113198.0;56606.0
504;200.0;196.3;113598.0;56806.0
505;200.0;196.3;113998.0;57006.0
506;200.0;196.3;114398.0;57206.0
507;200.0;196.3;114798.0;57406.0
508;200.0;196.3;115198.0;57606.0
509;200.0;196.4;115597.0;57806.0
510;200.0;196.4;115997.0;58006.0
511;200.0;196.4;116397.0;58206.0
512;200.0;196.4;116797.0;58406.0
513;193.0;196.4;117183.0;58599.0
514;200.0;196.4;117583.0;58799.0
515;200.0;196.4;117983.0;58999.0
516;200.0;196.4;118383.0;59199.0
517;200.0;196.4;118783.0;59399.0
518;200.0;196.4;119183.0;59599.0
519;200.0;196.4;119583.0;59799.0
520;200.0;196.4;119983.0;59999.0
521;200.0;196.4;120383.0;60199.0
522;200.0;196.4;120783.0;60399.0
523;200.0;196.4;121183.0;60599.0
524;200.0;196.4;121583.0;60799.0
525;200.0;196.4;121983.0;60999.0
526;200.0;196.4;122383.0;61199.0
527;200.0;196.4;122783.0;61399.0
528;200.0;196.4;123183.0;61599.0
529;200.0;196.4;123583.0;61799.0
530;200.0;196.4;123983.0;61999.0
531;189.0;196.3;124361.0;62188.0
532;200.0;196.3;124761.0;62388.0
533;200.0;196.3;125161.0;62588.0
534;200.0;196.3;125561.0;62788.0
535;200.0;196.3;125961.0;62988.0
536;197.0;196.2;126355.0;63185.0
537;200.0;196.2;126755.0;63385.0
538;189.0;196.1;127133.0;63574.0
539;200.0;196.1;127533.0;63774.0
540;200.0;196.1;127933.0;63974.0
541;200.0;196.3;128332.0;64174.0
542;191.0;196.2;128714.0;64365.0
543;200.0;196.2;129114.0;64565.0
544;200.0;196.2;129514.0;64765.0
545;200.0;196.2;129914.0;64965.0
546;200.0;196.2;130314.0;65165.0
547;172.0;196.0;130658.0;65337.0
548;200.0;196.0;131058.0;65537.0
549;200.0;196.0;131458.0;65737.0
550;200.0;196.0;131858.0;65937.0
551;200.0;196.0;132258.0;66137.0
552;183.0;195.9;132624.0;66320.0
553;200.0;196.2;133024.0;66520.0
554;200.0;196.2;133424.0;66720.0
555;186.0;196.3;133796.0;66906.0
556;200.0;196.3;134196.0;67106.0
557;200.0;196.3;134596.0;67306.0
558;200.0;196.3;134996.0;67506.0
559;200.0;196.5;135396.0;67706.0
560;200.0;196.5;135796.0;67906.0
561;200.0;196.9;136196.0;68106.0
562;200.0;196.9;136596.0;68306.0
563;198.0;196.9;136992.0;68504.0
564;185.0;196.7;137362.0;68689.0
565;200.0;197.0;137762.0;68889.0
566;195.0;197.2;138152.0;69084.0
567;200.0;197.2;138552.0;69284.0
568;200.0;197.2;138952.0;69484.0
569;200.0;197.2;139352.0;69684.0
570;200.0;197.6;139752.0;69884.0
571;200.0;198.0;140152.0;70084.0
572;200.0;198.4;140552.0;70284.0
573;200.0;198.4;140952.0;70484.0
574;200.0;198.7;141352.0;70684.0
575;200.0;198.7;141752.0;70884.0
576;200.0;198.7;142152.0;71084.0
577;200.0;198.7;142551.0;71284.0
578;200.0;198.7;142951.0;71484.0
579;200.0;198.7;143351.0;71684.0
580;200.0;198.7;143751.0;71884.0
581;200.0;198.7;144151.0;72084.0
582;200.0;198.8;144551.0;72284.0
583;200.0;198.8;144950.0;72484.0
584;200.0;198.8;145350.0;72684.0
585;200.0;198.8;145749.0;72884.0
586;200.0;198.8;146149.0;73084.0
587;200.0;198.8;146549.0;73284.0
588;200.0;198.8;146948.0;73484.0
589;200.0;198.8;147348.0;73684.0
590;200.0;198.8;147748.0;73884.0
591;200.0;198.8;148148.0;74084.0
592;200.0;198.8;148548.0;74284.0
593;200.0;198.8;148948.0;74484.0
594;200.0;198.8;149348.0;74684.0
595;200.0;198.8;149748.0;74884.0
596;200.0;198.8;150147.0;75084.0
597;200.0;198.8;150547.0;75284.0
598;200.0;198.8;150947.0;75484.0
599;200.0;198.8;151347.0;75684.0
600;200.0;198.8;151747.0;75884.0
601;200.0;198.8;152147.0;76084.0
602;200.0;198.8;152547.0;76284.0
603;200.0;198.8;152946.0;76484.0
604;200.0;198.8;153346.0;76684.0
605;200.0;198.8;153746.0;76884.0
606;200.0;198.8;154146.0;77084.0
607;200.0;198.8;154546.0;77284.0
608;200.0;198.8;154946.0;77484.0
609;200.0;198.8;155346.0;77684.0
610;200.0;198.8;155745.0;77884.0
611;200.0;198.8;156145.0;78084.0
612;200.0;198.8;156545.0;78284.0
613;200.0;198.8;156945.0;78484.0
614;200.0;198.8;157345.0;78684.0
615;200.0;198.8;157745.0;78884.0
616;200.0;198.8;158145.0;79084.0
617;200.0;198.8;158545.0;79284.0
618;200.0;198.8;158945.0;79484.0
619;200.0;198.8;159345.0;79684.0
620;200.0;198.8;159745.0;79884.0
621;200.0;198.8;160145.0;80084.0
622;200.0;198.8;160544.0;80284.0
623;200.0;198.8;160944.0;80484.0
624;200.0;198.8;161344.0;80684.0
625;200.0;198.8;161744.0;80884.0
626;200.0;198.8;162144.0;81084.0
627;200.0;198.8;162544.0;81284.0
628;200.0;198.8;162944.0;81484.0
629;200.0;198.8;163344.0;81684.0
630;200.0;198.8;163744.0;81884.0
631;200.0;199.0;164144.0;82084.0
632;200.0;199.0;164544.0;82284.0
633;200.0;199.0;164944.0;82484.0
634;200.0;199.0;165344.0;82684.0
635;200.0;199.0;165744.0;82884.0
636;200.0;199.0;166144.0;83084.0
637;200.0;199.0;166544.0;83284.0
638;200.0;199.1;166944.0;83484.0
639;200.0;199.1;167344.0;83684.0
640;200.0;199.1;167744.0;83884.0
641;200.0;199.1;168144.0;84084.0
642;200.0;199.2;168544.0;84284.0
643;200.0;199.2;168944.0;84484.0
644;200.0;199.2;169344.0;84684.0
645;200.0;199.2;169744.0;84884.0
646;200.0;199.2;170144.0;85084.0
647;200.0;199.5;170544.0;85284.0
648;200.0;199.5;170944.0;85484.0
649;200.0;199.5;171344.0;85684.0
650;200.0;199.5;171744.0;85884.0
651;200.0;199.5;172144.0;86084.0
652;200.0;199.6;172544.0;86284.0
653;200.0;199.6;172944.0;86484.0
654;200.0;199.6;173344.0;86684.0
655;200.0;199.8;173744.0;86884.0
656;200.0;199.8;174144.0;87084.0
657;200.0;199.8;174544.0;87284.0
658;200.0;199.8;174944.0;87484.0
659;200.0;199.8;175344.0;87684.0
660;200.0;199.8;175744.0;87884.0
661;200.0;199.8;176144.0;88084.0
662;200.0;199.8;176544.0;88284.0
663;200.0;199.8;176944.0;88484.0
664;200.0;200.0;177344.0;88684.0
665;200.0;200.0;177744.0;88884.0
666;200.0;200.0;178144.0;89084.0
