episode;reward0;avg_reward0;t_global;cr
321;160.0;146.9;20574.0;20573.0
322;166.0;147.6;20740.0;20739.0
323;178.0;148.8;20918.0;20917.0
324;176.0;149.6;21094.0;21093.0
325;155.0;150.1;21249.0;21248.0
326;200.0;151.3;21449.0;21448.0
327;180.0;151.9;21629.0;21628.0
328;200.0;153.1;21829.0;21828.0
329;181.0;154.2;22010.0;22009.0
330;200.0;155.3;22210.0;22209.0
331;200.0;156.6;22410.0;22409.0
332;200.0;157.4;22610.0;22609.0
333;200.0;158.7;22810.0;22809.0
334;159.0;159.6;22969.0;22968.0
335;200.0;160.6;23169.0;23168.0
336;168.0;160.3;23337.0;23336.0
337;156.0;160.6;23493.0;23492.0
338;174.0;160.8;23667.0;23666.0
339;175.0;160.8;23842.0;23841.0
340;200.0;161.0;24042.0;24041.0
341;200.0;161.0;24242.0;24241.0
342;200.0;161.0;24442.0;24441.0
343;200.0;161.6;24642.0;24641.0
344;200.0;162.3;24842.0;24841.0
345;200.0;162.3;25042.0;25041.0
346;200.0;162.9;25242.0;25241.0
347;200.0;163.7;25442.0;25441.0
348;200.0;164.0;25642.0;25641.0
349;200.0;164.4;25842.0;25841.0
350;200.0;164.9;26042.0;26041.0
351;200.0;165.0;26242.0;26241.0
352;178.0;164.8;26420.0;26419.0
353;200.0;165.2;26620.0;26619.0
354;184.0;165.8;26804.0;26803.0
355;200.0;166.5;27004.0;27003.0
356;200.0;167.3;27204.0;27203.0
357;200.0;167.7;27404.0;27403.0
358;200.0;168.3;27604.0;27603.0
359;200.0;169.0;27804.0;27803.0
360;200.0;169.8;28004.0;28003.0
361;200.0;170.4;28204.0;28203.0
362;200.0;171.0;28404.0;28403.0
363;200.0;171.5;28604.0;28603.0
364;200.0;171.9;28804.0;28803.0
365;200.0;172.7;29004.0;29003.0
366;200.0;173.5;29204.0;29203.0
367;200.0;174.1;29404.0;29403.0
368;200.0;174.7;29604.0;29603.0
369;200.0;175.5;29804.0;29803.0
370;200.0;176.0;30004.0;30003.0
371;200.0;176.5;30204.0;30203.0
372;200.0;177.1;30404.0;30403.0
373;200.0;177.7;30604.0;30603.0
374;190.0;178.2;30794.0;30793.0
375;200.0;178.9;30994.0;30993.0
376;200.0;179.2;31194.0;31193.0
377;200.0;179.6;31394.0;31393.0
378;200.0;180.0;31594.0;31593.0
379;190.0;180.1;31784.0;31783.0
380;200.0;180.4;31984.0;31983.0
381;168.0;180.5;32152.0;32151.0
382;200.0;180.8;32352.0;32351.0
383;196.0;181.3;32548.0;32547.0
384;200.0;181.9;32748.0;32747.0
385;196.0;182.2;32944.0;32943.0
386;200.0;182.7;33144.0;33143.0
387;200.0;183.3;33344.0;33343.0
388;200.0;183.6;33544.0;33543.0
389;200.0;183.7;33744.0;33743.0
390;200.0;184.2;33944.0;33943.0
391;200.0;184.3;34144.0;34143.0
392;200.0;184.7;34344.0;34343.0
393;200.0;184.8;34544.0;34543.0
394;200.0;185.2;34744.0;34743.0
395;200.0;185.9;34944.0;34943.0
396;200.0;186.5;35144.0;35143.0
