episode;reward0;avg_reward0;t_global;cr
348;146.0;132.2;156484.0;203.0
349;157.0;133.1;157956.0;205.0
350;156.0;134.0;159428.0;207.0
351;200.0;135.4;160900.0;209.0
352;193.0;136.5;162372.0;211.0
353;200.0;137.6;163836.0;213.0
354;172.0;138.7;165292.0;215.0
355;192.0;140.1;166748.0;217.0
356;169.0;141.2;168204.0;219.0
357;200.0;142.0;169660.0;221.0
358;200.0;143.2;171116.0;223.0
359;200.0;144.6;173300.0;226.0
360;200.0;146.0;174756.0;228.0
361;200.0;147.2;176212.0;230.0
362;200.0;148.5;177668.0;232.0
363;194.0;149.3;179124.0;234.0
364;200.0;150.5;181308.0;237.0
365;200.0;151.8;182748.0;239.0
366;200.0;153.1;184188.0;241.0
367;200.0;154.3;185628.0;243.0
368;200.0;155.4;187068.0;245.0
369;200.0;156.6;189228.0;248.0
370;200.0;157.7;190668.0;250.0
371;200.0;158.0;192108.0;252.0
372;200.0;159.2;193548.0;254.0
373;200.0;160.6;195708.0;257.0
374;159.0;161.4;196428.0;258.0
375;181.0;162.2;197868.0;260.0
376;200.0;162.5;200020.0;263.0
377;200.0;163.1;201444.0;265.0
378;200.0;163.7;202868.0;267.0
379;197.0;164.1;204292.0;269.0
380;200.0;165.0;206428.0;272.0
381;184.0;165.7;207852.0;274.0
382;200.0;166.4;209276.0;276.0
383;200.0;167.1;210700.0;278.0
384;200.0;168.0;212124.0;280.0
385;187.0;168.7;213548.0;282.0
386;200.0;169.5;215684.0;285.0
387;200.0;170.5;217108.0;287.0
388;200.0;171.0;218516.0;289.0
389;200.0;171.6;219924.0;291.0
390;200.0;172.6;222036.0;294.0
391;174.0;173.2;223444.0;296.0
392;200.0;174.0;224852.0;298.0
393;200.0;174.6;226260.0;300.0
394;200.0;175.3;228372.0;303.0
395;200.0;176.0;229780.0;305.0
396;200.0;176.8;231188.0;307.0
397;200.0;177.3;232596.0;309.0
398;200.0;178.0;234708.0;312.0
399;200.0;178.5;236100.0;314.0
400;200.0;179.1;237492.0;316.0
401;200.0;179.6;239580.0;319.0
402;200.0;180.0;240972.0;321.0
403;200.0;180.3;242364.0;323.0
404;200.0;181.0;243756.0;325.0
405;200.0;181.6;245844.0;328.0
406;200.0;182.1;247236.0;330.0
407;200.0;182.6;248628.0;332.0
408;200.0;183.1;250716.0;335.0
409;200.0;183.7;252108.0;337.0
410;200.0;184.4;253484.0;339.0
411;200.0;184.8;255548.0;342.0
412;200.0;185.1;256924.0;344.0
413;200.0;185.8;258300.0;346.0
414;200.0;186.3;260364.0;349.0
415;200.0;186.9;261740.0;351.0
416;195.0;187.4;263116.0;353.0
417;200.0;187.8;264492.0;355.0
418;200.0;188.3;266556.0;358.0
419;200.0;188.4;267932.0;360.0
420;200.0;189.0;269308.0;362.0
421;200.0;189.4;271348.0;365.0
422;200.0;189.8;272708.0;367.0
423;190.0;190.0;273983.0;369.0
424;200.0;190.4;276023.0;372.0
425;200.0;191.0;277383.0;374.0
426;200.0;191.0;278743.0;376.0
427;200.0;191.4;280783.0;379.0
428;200.0;191.6;282143.0;381.0
429;200.0;191.7;284183.0;384.0
430;200.0;192.1;285543.0;386.0
431;200.0;192.4;286895.0;388.0
432;200.0;192.7;288911.0;391.0
433;200.0;192.9;290255.0;393.0
434;200.0;193.4;291599.0;395.0
435;200.0;193.4;293615.0;398.0
436;200.0;193.8;294959.0;400.0
437;200.0;194.1;296975.0;403.0
438;200.0;194.5;298319.0;405.0
439;200.0;195.0;299663.0;407.0
440;200.0;195.3;301679.0;410.0
441;200.0;195.6;303023.0;412.0
442;200.0;195.7;304351.0;414.0
443;200.0;195.7;306343.0;417.0
444;200.0;195.7;307671.0;419.0
445;199.0;196.0;309663.0;422.0
446;200.0;196.3;310991.0;424.0
447;200.0;196.4;312319.0;426.0
448;195.0;196.9;314311.0;429.0
449;200.0;197.4;315639.0;431.0
450;200.0;197.8;317631.0;434.0
451;200.0;197.8;318959.0;436.0
452;200.0;197.9;320935.0;439.0
453;200.0;197.9;322247.0;441.0
454;200.0;198.2;323559.0;443.0
455;200.0;198.2;325527.0;446.0
456;200.0;198.6;326839.0;448.0
457;200.0;198.6;328807.0;451.0
458;200.0;198.6;330119.0;453.0
459;200.0;198.6;332087.0;456.0
460;200.0;198.6;333399.0;458.0
461;200.0;198.6;334711.0;460.0
462;200.0;198.6;336671.0;463.0
463;200.0;198.6;337967.0;465.0
464;200.0;198.6;339911.0;468.0
465;200.0;198.6;341207.0;470.0
466;200.0;198.6;343151.0;473.0
467;199.0;198.6;344447.0;475.0
468;200.0;198.6;346391.0;478.0
469;200.0;198.6;347687.0;480.0
470;200.0;198.6;349631.0;483.0
471;200.0;198.6;350927.0;485.0
472;200.0;198.6;352863.0;488.0
473;200.0;198.6;354143.0;490.0
474;200.0;199.0;356063.0;493.0
475;200.0;199.2;357343.0;495.0
476;200.0;199.2;359263.0;498.0
477;188.0;199.1;360543.0;500.0
478;200.0;199.1;361823.0;502.0
479;192.0;199.0;363743.0;505.0
480;200.0;199.0;365023.0;507.0
481;200.0;199.2;366943.0;510.0
482;200.0;199.2;368223.0;512.0
483;200.0;199.2;370143.0;515.0
484;200.0;199.2;371423.0;517.0
485;200.0;199.3;373343.0;520.0
486;200.0;199.3;374623.0;522.0
487;200.0;199.3;376543.0;525.0
488;172.0;199.0;377823.0;527.0
489;200.0;199.0;379743.0;530.0
490;200.0;199.0;381023.0;532.0
491;200.0;199.3;382863.0;535.0
492;200.0;199.3;384143.0;537.0
493;200.0;199.3;386063.0;540.0
494;200.0;199.3;387343.0;542.0
495;200.0;199.3;389263.0;545.0
496;200.0;199.3;390543.0;547.0
497;200.0;199.3;392463.0;550.0
498;200.0;199.3;393743.0;552.0
499;200.0;199.3;395663.0;555.0
500;200.0;199.3;396943.0;557.0
501;200.0;199.3;398863.0;560.0
502;200.0;199.3;400143.0;562.0
503;200.0;199.3;402063.0;565.0
504;200.0;199.3;403343.0;567.0
505;200.0;199.3;405263.0;570.0
506;200.0;199.3;406543.0;572.0
507;189.0;199.2;407823.0;574.0
508;200.0;199.2;409743.0;577.0
509;200.0;199.2;411023.0;579.0
510;200.0;199.2;412943.0;582.0
511;200.0;199.2;414223.0;584.0
512;200.0;199.2;416143.0;587.0
513;200.0;199.2;417423.0;589.0
514;200.0;199.2;419343.0;592.0
515;200.0;199.2;420623.0;594.0
516;200.0;199.2;422543.0;597.0
517;200.0;199.2;423823.0;599.0
518;200.0;199.2;425743.0;602.0
519;200.0;199.2;427023.0;604.0
520;200.0;199.2;428943.0;607.0
521;200.0;199.2;430223.0;609.0
522;200.0;199.2;432143.0;612.0
523;200.0;199.3;433423.0;614.0
524;200.0;199.3;435343.0;617.0
525;200.0;199.3;436623.0;619.0
526;200.0;199.3;438543.0;622.0
527;200.0;199.3;439823.0;624.0
528;200.0;199.3;441743.0;627.0
529;200.0;199.3;443023.0;629.0
530;200.0;199.3;444943.0;632.0
531;200.0;199.3;446223.0;634.0
532;200.0;199.3;448143.0;637.0
533;200.0;199.3;449423.0;639.0
534;200.0;199.3;451343.0;642.0
535;200.0;199.3;452623.0;644.0
536;200.0;199.3;454543.0;647.0
537;200.0;199.3;455823.0;649.0
538;200.0;199.3;457743.0;652.0
539;200.0;199.3;459023.0;654.0
540;200.0;199.3;460943.0;657.0
541;200.0;199.3;462223.0;659.0
542;200.0;199.3;464143.0;662.0
543;200.0;199.3;465423.0;664.0
544;200.0;199.3;467343.0;667.0
545;200.0;199.4;468623.0;669.0
546;200.0;199.4;470543.0;672.0
547;200.0;199.4;471823.0;674.0
548;191.0;199.3;473743.0;677.0
549;200.0;199.3;475023.0;679.0
550;200.0;199.3;476943.0;682.0
551;200.0;199.3;478223.0;684.0
552;200.0;199.3;480143.0;687.0
553;200.0;199.3;481423.0;689.0
554;200.0;199.3;483343.0;692.0
555;200.0;199.3;484623.0;694.0
556;200.0;199.3;486543.0;697.0
557;200.0;199.3;487823.0;699.0
558;200.0;199.3;489743.0;702.0
559;200.0;199.3;491023.0;704.0
560;200.0;199.3;492943.0;707.0
561;200.0;199.3;494223.0;709.0
562;200.0;199.3;496143.0;712.0
563;200.0;199.3;497423.0;714.0
564;200.0;199.3;499343.0;717.0
565;200.0;199.3;500623.0;719.0
566;200.0;199.3;502543.0;722.0
567;200.0;199.3;503823.0;724.0
568;200.0;199.3;505743.0;727.0
569;200.0;199.3;507023.0;729.0
570;200.0;199.3;508943.0;732.0
571;200.0;199.3;510223.0;734.0
572;200.0;199.3;512143.0;737.0
573;200.0;199.3;513423.0;739.0
574;200.0;199.3;515343.0;742.0
575;197.0;199.3;516623.0;744.0
576;200.0;199.3;518543.0;747.0
577;200.0;199.4;519823.0;749.0
578;200.0;199.4;521743.0;752.0
579;200.0;199.5;523023.0;754.0
