episode;reward0;avg_reward0;t_global;cr;;episode;reward1;avg_reward1;t_global;cr;;episode;reward2;avg_reward2;t_global;cr;;episode;reward3;avg_reward3;t_global;cr;;episode;reward4;avg_reward4;t_global;cr;;episode;reward5;avg_reward5;t_global;cr;;avg_reward;avg_avg_reward
70;15.0;21.4;2400.0;3.0;;70;18.0;21.9;3000.0;4.0;;70;16.0;20.3;2400.0;3.0;;70;17.0;19.0;1800.0;2.0;;70;10.0;22.1;3000.0;4.0;;70;22.0;21.9;3000.0;4.0;;16.333333333333332;21.1
71;10.0;21.3;3000.0;4.0;;71;18.0;21.8;3000.0;4.0;;71;24.0;20.4;2400.0;3.0;;71;18.0;19.0;1800.0;2.0;;71;23.0;22.1;3000.0;4.0;;71;11.0;21.8;3000.0;4.0;;17.333333333333332;21.066666666666666
72;13.0;21.2;3000.0;4.0;;72;11.0;21.7;3000.0;4.0;;72;19.0;20.4;2400.0;3.0;;72;18.0;19.0;1800.0;2.0;;72;29.0;22.2;3000.0;4.0;;72;17.0;21.7;3000.0;4.0;;17.833333333333332;21.03333333333333
73;32.0;21.3;3000.0;4.0;;73;12.0;21.5;3000.0;4.0;;73;17.0;20.3;2400.0;3.0;;73;35.0;19.2;2000.0;2.0;;73;14.0;22.1;3600.0;5.0;;73;22.0;21.7;3000.0;4.0;;22.0;21.016666666666666
74;26.0;21.4;3000.0;4.0;;74;20.0;21.5;3000.0;4.0;;74;15.0;20.2;2400.0;3.0;;74;12.0;19.1;2400.0;3.0;;74;13.0;22.0;3600.0;5.0;;74;25.0;21.7;3600.0;5.0;;18.5;20.983333333333334
75;12.0;21.2;3000.0;4.0;;75;9.0;21.4;3600.0;5.0;;75;16.0;20.2;3000.0;4.0;;75;21.0;19.1;2400.0;3.0;;75;13.0;21.9;3600.0;5.0;;75;22.0;21.7;3600.0;5.0;;15.5;20.916666666666664
76;22.0;21.2;3600.0;5.0;;76;24.0;21.4;3600.0;5.0;;76;50.0;20.6;3000.0;4.0;;76;15.0;19.1;2400.0;3.0;;76;14.0;21.8;3600.0;5.0;;76;12.0;21.6;3600.0;5.0;;22.833333333333332;20.95
77;21.0;21.2;3600.0;5.0;;77;12.0;21.3;3600.0;5.0;;77;15.0;20.5;3000.0;4.0;;77;14.0;19.0;2400.0;3.0;;77;32.0;21.9;3600.0;5.0;;77;17.0;21.6;3600.0;5.0;;18.5;20.916666666666668
78;33.0;21.4;3600.0;5.0;;78;31.0;21.4;3600.0;5.0;;78;19.0;20.5;3000.0;4.0;;78;27.0;19.1;2400.0;3.0;;78;18.0;21.9;4200.0;6.0;;78;36.0;21.7;3600.0;5.0;;27.333333333333332;21.0
79;18.0;21.4;3600.0;5.0;;79;17.0;21.3;3600.0;5.0;;79;23.0;20.5;3600.0;5.0;;79;23.0;19.1;3000.0;4.0;;79;18.0;21.8;4200.0;6.0;;79;26.0;21.8;4200.0;6.0;;20.833333333333332;20.983333333333334
80;12.0;21.2;3600.0;5.0;;80;25.0;21.4;4200.0;6.0;;80;14.0;20.4;3600.0;5.0;;80;11.0;19.0;3000.0;4.0;;80;9.0;21.6;4200.0;6.0;;80;10.0;21.6;4200.0;6.0;;13.5;20.866666666666667
81;12.0;21.1;4200.0;6.0;;81;16.0;21.3;4200.0;6.0;;81;35.0;20.6;3600.0;5.0;;81;23.0;19.1;3000.0;4.0;;81;61.0;22.1;4200.0;6.0;;81;19.0;21.6;4200.0;6.0;;27.666666666666668;20.96666666666667
82;9.0;21.0;4200.0;6.0;;82;10.0;21.2;4200.0;6.0;;82;20.0;20.6;3600.0;5.0;;82;15.0;19.0;3000.0;4.0;;82;15.0;22.0;4800.0;7.0;;82;36.0;21.8;4200.0;6.0;;17.5;20.933333333333334
83;20.0;21.0;4200.0;6.0;;83;14.0;21.1;4200.0;6.0;;83;17.0;20.6;4200.0;6.0;;83;38.0;19.3;3000.0;4.0;;83;18.0;22.0;4800.0;7.0;;83;17.0;21.7;4800.0;7.0;;20.666666666666668;20.95
84;40.0;21.2;4200.0;6.0;;84;13.0;21.0;4200.0;6.0;;84;23.0;20.6;4200.0;6.0;;84;25.0;19.3;3600.0;5.0;;84;14.0;21.9;4800.0;7.0;;84;19.0;21.7;4800.0;7.0;;22.333333333333332;20.95
85;23.0;21.2;4800.0;7.0;;85;13.0;20.9;4200.0;6.0;;85;14.0;20.5;4200.0;6.0;;85;57.0;19.8;3600.0;5.0;;85;10.0;21.8;4800.0;7.0;;85;54.0;22.1;4800.0;7.0;;28.5;21.05
86;50.0;21.5;4800.0;7.0;;86;12.0;20.8;4200.0;6.0;;86;18.0;20.5;4200.0;6.0;;86;26.0;19.8;4200.0;6.0;;86;22.0;21.8;4800.0;7.0;;86;35.0;22.2;5400.0;8.0;;27.166666666666668;21.1
87;11.0;21.4;4800.0;7.0;;87;27.0;20.9;4800.0;7.0;;87;12.0;20.4;4200.0;6.0;;87;17.0;19.8;4200.0;6.0;;87;38.0;22.0;5400.0;8.0;;87;11.0;22.1;5400.0;8.0;;19.333333333333332;21.1
88;20.0;21.4;4800.0;7.0;;88;18.0;20.8;4800.0;7.0;;88;8.0;20.2;4200.0;6.0;;88;23.0;19.9;4200.0;6.0;;88;14.0;21.9;5400.0;8.0;;88;10.0;22.0;5400.0;8.0;;15.5;21.03333333333333
89;21.0;21.4;5400.0;8.0;;89;14.0;20.8;4800.0;7.0;;89;29.0;20.3;4800.0;7.0;;89;51.0;20.2;4400.0;6.0;;89;27.0;21.9;5400.0;8.0;;89;16.0;21.9;5400.0;8.0;;26.333333333333332;21.083333333333332
