episode;reward0;avg_reward0;t_global;cr;;episode;reward1;avg_reward1;t_global;cr;;avg_reward;avg_avg_reward
345;200.0;179.8;54738.0;27373.0;;345;200.0;184.0;57465.0;28737.0;;200.0;181.9
346;200.0;180.5;55138.0;27573.0;;346;200.0;184.4;57865.0;28937.0;;200.0;182.45
347;200.0;181.4;55538.0;27773.0;;347;200.0;185.2;58265.0;29137.0;;200.0;183.3
348;168.0;181.8;55874.0;27941.0;;348;200.0;185.6;58665.0;29337.0;;184.0;183.7
349;172.0;181.9;56218.0;28113.0;;349;200.0;185.8;59065.0;29537.0;;186.0;183.85000000000002
350;178.0;182.3;56574.0;28291.0;;350;200.0;186.4;59465.0;29737.0;;189.0;184.35000000000002
351;198.0;182.9;56970.0;28489.0;;351;196.0;186.8;59857.0;29933.0;;197.0;184.85000000000002
352;172.0;183.0;57313.0;28661.0;;352;176.0;186.5;60209.0;30109.0;;174.0;184.75
353;200.0;183.6;57713.0;28861.0;;353;174.0;186.7;60557.0;30283.0;;187.0;185.14999999999998
354;180.0;184.1;58073.0;29041.0;;354;200.0;186.8;60957.0;30483.0;;190.0;185.45
355;200.0;184.7;58473.0;29241.0;;355;200.0;186.8;61357.0;30683.0;;200.0;185.75
356;198.0;185.4;58869.0;29439.0;;356;200.0;187.1;61757.0;30883.0;;199.0;186.25
357;200.0;185.7;59269.0;29639.0;;357;200.0;187.3;62157.0;31083.0;;200.0;186.5
358;200.0;185.7;59669.0;29839.0;;358;200.0;187.5;62557.0;31283.0;;200.0;186.6
359;184.0;186.0;60037.0;30023.0;;359;200.0;187.8;62956.0;31483.0;;192.0;186.9
360;200.0;186.5;60437.0;30223.0;;360;200.0;188.0;63356.0;31683.0;;200.0;187.25
361;200.0;186.8;60837.0;30423.0;;361;188.0;188.3;63732.0;31871.0;;194.0;187.55
362;200.0;187.2;61237.0;30623.0;;362;200.0;188.4;64132.0;32071.0;;200.0;187.8
363;200.0;187.2;61637.0;30823.0;;363;200.0;188.8;64532.0;32271.0;;200.0;188.0
364;200.0;187.2;62037.0;31023.0;;364;200.0;189.4;64932.0;32471.0;;200.0;188.3
365;200.0;187.7;62437.0;31223.0;;365;180.0;189.4;65292.0;32651.0;;190.0;188.55
366;200.0;188.2;62836.0;31423.0;;366;200.0;189.9;65692.0;32851.0;;200.0;189.05
367;200.0;188.2;63236.0;31623.0;;367;200.0;190.4;66092.0;33051.0;;200.0;189.3
368;200.0;188.7;63636.0;31823.0;;368;200.0;190.7;66492.0;33251.0;;200.0;189.7
369;200.0;189.2;64036.0;32023.0;;369;200.0;191.2;66892.0;33451.0;;200.0;190.2
370;193.0;189.3;64422.0;32216.0;;370;200.0;191.4;67292.0;33651.0;;196.5;190.35000000000002
371;200.0;189.3;64822.0;32416.0;;371;200.0;191.9;67692.0;33851.0;;200.0;190.60000000000002
372;200.0;189.8;65222.0;32616.0;;372;200.0;192.2;68092.0;34051.0;;200.0;191.0
373;200.0;190.2;65622.0;32816.0;;373;200.0;192.5;68492.0;34251.0;;200.0;191.35
374;195.0;190.7;66012.0;33011.0;;374;200.0;192.6;68892.0;34451.0;;197.5;191.64999999999998
375;200.0;191.4;66412.0;33211.0;;375;200.0;193.1;69292.0;34651.0;;200.0;192.25
376;200.0;191.7;66812.0;33411.0;;376;200.0;193.1;69692.0;34851.0;;200.0;192.39999999999998
377;200.0;192.1;67212.0;33611.0;;377;200.0;193.6;70092.0;35051.0;;200.0;192.85
378;200.0;192.2;67612.0;33811.0;;378;200.0;193.6;70491.0;35251.0;;200.0;192.89999999999998
379;200.0;192.2;68012.0;34011.0;;379;200.0;193.6;70891.0;35451.0;;200.0;192.89999999999998
380;200.0;192.2;68412.0;34211.0;;380;200.0;193.9;71291.0;35651.0;;200.0;193.05
381;200.0;192.2;68812.0;34411.0;;381;200.0;194.1;71691.0;35851.0;;200.0;193.14999999999998
382;200.0;192.2;69212.0;34611.0;;382;200.0;194.4;72091.0;36051.0;;200.0;193.3
383;200.0;192.6;69612.0;34811.0;;383;200.0;194.4;72491.0;36251.0;;200.0;193.5
384;200.0;193.1;70012.0;35011.0;;384;200.0;194.4;72890.0;36451.0;;200.0;193.75
385;200.0;193.1;70411.0;35211.0;;385;200.0;194.4;73290.0;36651.0;;200.0;193.75
386;200.0;193.4;70811.0;35411.0;;386;200.0;194.4;73690.0;36851.0;;200.0;193.9
387;200.0;193.8;71211.0;35611.0;;387;200.0;194.6;74090.0;37051.0;;200.0;194.2
388;200.0;193.8;71611.0;35811.0;;388;200.0;194.6;74490.0;37251.0;;200.0;194.2
389;200.0;193.8;72011.0;36011.0;;389;200.0;194.6;74890.0;37451.0;;200.0;194.2
390;200.0;193.8;72411.0;36211.0;;390;200.0;195.2;75290.0;37651.0;;200.0;194.5
391;200.0;193.8;72810.0;36411.0;;391;200.0;195.2;75690.0;37851.0;;200.0;194.5
392;200.0;194.2;73210.0;36611.0;;392;195.0;195.2;76080.0;38046.0;;197.5;194.7
393;200.0;194.2;73610.0;36811.0;;393;200.0;195.6;76480.0;38246.0;;200.0;194.89999999999998
394;200.0;194.2;74010.0;37011.0;;394;200.0;195.6;76880.0;38446.0;;200.0;194.89999999999998
395;200.0;194.5;74410.0;37211.0;;395;200.0;195.6;77280.0;38646.0;;200.0;195.05
396;200.0;194.9;74810.0;37411.0;;396;200.0;195.6;77680.0;38846.0;;200.0;195.25
397;200.0;195.0;75210.0;37611.0;;397;200.0;196.0;78080.0;39046.0;;200.0;195.5
398;200.0;195.3;75610.0;37811.0;;398;200.0;196.0;78480.0;39246.0;;200.0;195.65
399;200.0;195.3;76010.0;38011.0;;399;200.0;196.0;78880.0;39446.0;;200.0;195.65
400;200.0;195.3;76410.0;38211.0;;400;200.0;196.0;79280.0;39646.0;;200.0;195.65
401;200.0;195.3;76810.0;38411.0;;401;200.0;196.2;79680.0;39846.0;;200.0;195.75
402;200.0;195.3;77210.0;38611.0;;402;200.0;196.2;80080.0;40046.0;;200.0;195.75
403;200.0;195.3;77610.0;38811.0;;403;200.0;196.2;80480.0;40246.0;;200.0;195.75
404;200.0;195.6;78010.0;39011.0;;404;200.0;196.3;80879.0;40446.0;;200.0;195.95
405;200.0;195.6;78410.0;39211.0;;405;200.0;196.3;81279.0;40646.0;;200.0;195.95
406;200.0;195.6;78810.0;39411.0;;406;200.0;196.3;81679.0;40846.0;;200.0;195.95
407;200.0;195.6;79210.0;39611.0;;407;200.0;196.3;82079.0;41046.0;;200.0;195.95
408;200.0;195.6;79610.0;39811.0;;408;200.0;196.3;82479.0;41246.0;;200.0;195.95
409;200.0;195.8;80010.0;40011.0;;409;200.0;196.3;82879.0;41446.0;;200.0;196.05
410;200.0;195.8;80410.0;40211.0;;410;200.0;196.3;83279.0;41646.0;;200.0;196.05
411;200.0;195.8;80810.0;40411.0;;411;200.0;196.3;83679.0;41846.0;;200.0;196.05
412;200.0;195.8;81209.0;40611.0;;412;200.0;196.3;84079.0;42046.0;;200.0;196.05
413;200.0;196.0;81609.0;40811.0;;413;200.0;196.3;84479.0;42246.0;;200.0;196.15
414;200.0;196.1;82009.0;41011.0;;414;200.0;196.3;84878.0;42446.0;;200.0;196.2
415;200.0;196.2;82409.0;41211.0;;415;200.0;196.3;85278.0;42646.0;;200.0;196.25
416;200.0;196.3;82809.0;41411.0;;416;200.0;196.4;85678.0;42846.0;;200.0;196.35000000000002
417;200.0;196.3;83209.0;41611.0;;417;200.0;196.4;86078.0;43046.0;;200.0;196.35000000000002
418;200.0;196.3;83609.0;41811.0;;418;200.0;196.4;86478.0;43246.0;;200.0;196.35000000000002
419;200.0;196.3;84009.0;42011.0;;419;200.0;196.6;86878.0;43446.0;;200.0;196.45
420;200.0;196.5;84409.0;42211.0;;420;200.0;196.6;87278.0;43646.0;;200.0;196.55
421;200.0;196.5;84808.0;42411.0;;421;200.0;196.6;87678.0;43846.0;;200.0;196.55
422;200.0;196.5;85208.0;42611.0;;422;200.0;196.6;88078.0;44046.0;;200.0;196.55
423;200.0;196.5;85608.0;42811.0;;423;200.0;196.6;88478.0;44246.0;;200.0;196.55
424;200.0;196.5;86008.0;43011.0;;424;200.0;196.9;88878.0;44446.0;;200.0;196.7
425;200.0;196.7;86408.0;43211.0;;425;200.0;196.9;89278.0;44646.0;;200.0;196.8
426;200.0;196.7;86808.0;43411.0;;426;200.0;197.0;89678.0;44846.0;;200.0;196.85
427;200.0;196.7;87208.0;43611.0;;427;200.0;197.0;90078.0;45046.0;;200.0;196.85
428;200.0;196.7;87608.0;43811.0;;428;200.0;197.0;90478.0;45246.0;;200.0;196.85
429;200.0;196.7;88008.0;44011.0;;429;200.0;197.4;90878.0;45446.0;;200.0;197.05
430;200.0;196.8;88408.0;44211.0;;430;200.0;197.4;91278.0;45646.0;;200.0;197.10000000000002
