comm_rounds;t7;staleness7;epoch7
701;62090;400.0;80.0
702;62170;480.0;80.0
703;62250;240.0;80.0
704;62330;640.0;80.0
705;62410;80.0;80.0
706;62490;160.0;80.0
707;62570;480.0;80.0
708;62650;240.0;80.0
709;62730;560.0;80.0
710;62810;320.0;80.0
711;62890;400.0;80.0
712;62970;400.0;80.0
713;63050;160.0;80.0
714;63130;240.0;80.0
715;63210;560.0;80.0
716;63290;80.0;80.0
717;63370;80.0;80.0
718;63450;240.0;80.0
719;63530;320.0;80.0
720;63610;160.0;80.0
721;63690;480.0;80.0
722;63770;400.0;80.0
723;63850;480.0;80.0
724;63930;400.0;80.0
725;64010;320.0;80.0
726;64090;240.0;80.0
727;64170;480.0;80.0
728;64250;240.0;80.0
729;64330;80.0;80.0
730;64410;400.0;80.0
731;64490;400.0;80.0
732;64570;240.0;80.0
733;64650;320.0;80.0
734;64730;80.0;80.0
735;64810;320.0;80.0
736;64890;160.0;80.0
737;64970;320.0;80.0
738;65050;240.0;80.0
739;65130;240.0;80.0
740;65210;240.0;80.0
741;65290;320.0;80.0
742;65370;240.0;80.0
743;65450;320.0;80.0
744;65530;160.0;80.0
745;65610;160.0;80.0
746;65690;240.0;80.0
747;65770;80.0;80.0
748;65850;160.0;80.0
749;65930;160.0;80.0
750;66010;400.0;80.0
751;66090;80.0;80.0
752;66170;400.0;80.0
753;66250;320.0;80.0
754;66330;320.0;80.0
755;66410;240.0;80.0
756;66490;480.0;80.0
757;66570;240.0;80.0
758;66650;400.0;80.0
759;66730;80.0;80.0
760;66810;80.0;80.0
761;66890;160.0;80.0
762;66970;480.0;80.0
763;67050;80.0;80.0
764;67130;240.0;80.0
765;67210;480.0;80.0
766;67290;480.0;80.0
767;67370;400.0;80.0
768;67450;240.0;80.0
769;67530;240.0;80.0
770;67610;160.0;80.0
771;67690;400.0;80.0
772;67770;320.0;80.0
773;67850;240.0;80.0
774;67930;480.0;80.0
775;68010;400.0;80.0
776;68090;320.0;80.0
777;68170;480.0;80.0
778;68250;320.0;80.0
779;68330;160.0;80.0
780;68410;560.0;80.0
781;68490;400.0;80.0
782;68570;560.0;80.0
783;68650;160.0;80.0
784;68730;480.0;80.0
785;68810;560.0;80.0
786;68890;80.0;80.0
787;68970;160.0;80.0
788;69050;80.0;80.0
789;69130;480.0;80.0
790;69210;320.0;80.0
791;69290;240.0;80.0
792;69370;320.0;80.0
793;69450;400.0;80.0
794;69530;480.0;80.0
795;69610;400.0;80.0
796;69690;240.0;80.0
797;69770;160.0;80.0
798;69850;80.0;80.0
799;69930;800.0;80.0
800;70010;480.0;80.0
801;70090;320.0;80.0
802;70170;160.0;80.0
803;70250;320.0;80.0
804;70330;400.0;80.0
805;70410;400.0;80.0
806;70490;240.0;80.0
807;70570;80.0;80.0
808;70650;400.0;80.0
809;70730;80.0;80.0
810;70810;560.0;80.0
811;70890;160.0;80.0
812;70970;400.0;80.0
813;71050;320.0;80.0
814;71130;560.0;80.0
815;71210;80.0;80.0
816;71290;400.0;80.0
817;71370;320.0;80.0
818;71450;240.0;80.0
819;71530;400.0;80.0
820;71610;640.0;80.0
821;71690;480.0;80.0
822;71770;560.0;80.0
823;71850;480.0;80.0
824;71930;80.0;80.0
825;72010;400.0;80.0
826;72090;320.0;80.0
827;72170;400.0;80.0
828;72250;320.0;80.0
829;72330;240.0;80.0
830;72410;240.0;80.0
831;72490;560.0;80.0
832;72570;400.0;80.0
833;72650;400.0;80.0
834;72730;400.0;80.0
835;72810;400.0;80.0
836;72890;160.0;80.0
837;72970;560.0;80.0
838;73050;400.0;80.0
839;73130;80.0;80.0
840;73210;480.0;80.0
841;73290;80.0;80.0
842;73370;560.0;80.0
843;73450;320.0;80.0
844;73530;320.0;80.0
845;73610;400.0;80.0
846;73690;640.0;80.0
847;73770;400.0;80.0
848;73850;320.0;80.0
849;73930;240.0;80.0
850;74010;320.0;80.0
851;74090;320.0;80.0
852;74170;320.0;80.0
853;74250;240.0;80.0
854;74330;400.0;80.0
855;74410;240.0;80.0
856;74490;160.0;80.0
857;74570;240.0;80.0
858;74650;160.0;80.0
859;74730;400.0;80.0
860;74810;240.0;80.0
861;74890;400.0;80.0
862;74970;80.0;80.0
863;75050;160.0;80.0
864;75130;160.0;80.0
865;75210;240.0;80.0
866;75290;480.0;80.0
867;75370;160.0;80.0
868;75450;80.0;80.0
869;75530;480.0;80.0
870;75610;160.0;80.0
871;75690;160.0;80.0
872;75770;480.0;80.0
873;75850;320.0;80.0
874;75930;320.0;80.0
875;76010;400.0;80.0
876;76090;400.0;80.0
877;76170;320.0;80.0
878;76250;240.0;80.0
879;76330;400.0;80.0
880;76410;240.0;80.0
881;76490;640.0;80.0
882;76570;400.0;80.0
883;76650;240.0;80.0
884;76730;80.0;80.0
885;76810;160.0;80.0
886;76890;160.0;80.0
887;76970;80.0;80.0
888;77050;240.0;80.0
889;77130;80.0;80.0
890;77210;240.0;80.0
891;77290;80.0;80.0
892;77370;320.0;80.0
893;77450;400.0;80.0
894;77530;400.0;80.0
895;77610;560.0;80.0
896;77690;400.0;80.0
897;77770;160.0;80.0
898;77850;80.0;80.0
899;77930;400.0;80.0
900;78010;320.0;80.0
901;78090;480.0;80.0
902;78170;160.0;80.0
903;78250;320.0;80.0
904;78330;80.0;80.0
905;78410;320.0;80.0
906;78490;400.0;80.0
907;78570;320.0;80.0
908;78650;240.0;80.0
909;78730;160.0;80.0
910;78810;160.0;80.0
911;78890;160.0;80.0
912;78970;480.0;80.0
913;79050;320.0;80.0
914;79130;240.0;80.0
915;79210;160.0;80.0
916;79290;480.0;80.0
917;79370;80.0;80.0
918;79450;400.0;80.0
919;79530;80.0;80.0
920;79610;560.0;80.0
921;79690;240.0;80.0
922;79770;240.0;80.0
923;79850;400.0;80.0
924;79930;80.0;80.0
925;80010;160.0;80.0
926;80090;480.0;80.0
927;80170;480.0;80.0
928;80250;400.0;80.0
929;80330;240.0;80.0
930;80410;160.0;80.0
931;80490;240.0;80.0
932;80570;240.0;80.0
933;80650;320.0;80.0
934;80730;240.0;80.0
935;80810;80.0;80.0
936;80890;80.0;80.0
937;80970;320.0;80.0
938;81050;80.0;80.0
939;81130;160.0;80.0
940;81210;160.0;80.0
941;81290;80.0;80.0
942;81370;80.0;80.0
943;81450;320.0;80.0
944;81530;480.0;80.0
