episode;reward0;avg_reward0;t_global;cr;;avg_reward;avg_avg_reward
233;50.0;38.7;5637.0;56.0;;50.0;38.7
234;36.0;38.9;5637.0;56.0;;36.0;38.9
235;45.0;39.2;5735.0;57.0;;45.0;39.2
236;65.0;39.6;5735.0;57.0;;65.0;39.6
237;77.0;40.3;5833.0;58.0;;77.0;40.3
238;62.0;40.8;5931.0;59.0;;62.0;40.8
239;29.0;40.9;5931.0;59.0;;29.0;40.9
240;71.0;41.4;6029.0;60.0;;71.0;41.4
241;70.0;42.0;6127.0;61.0;;70.0;42.0
242;105.0;42.9;6225.0;62.0;;105.0;42.9
243;48.0;43.2;6225.0;62.0;;48.0;43.2
244;55.0;43.5;6322.0;63.0;;55.0;43.5
245;86.0;44.3;6419.0;64.0;;86.0;44.3
246;58.0;44.7;6419.0;64.0;;58.0;44.7
247;52.0;44.8;6516.0;65.0;;52.0;44.8
248;50.0;45.1;6516.0;65.0;;50.0;45.1
249;112.0;46.1;6613.0;66.0;;112.0;46.1
250;51.0;46.4;6710.0;67.0;;51.0;46.4
251;58.0;46.9;6807.0;68.0;;58.0;46.9
252;81.0;47.4;6807.0;68.0;;81.0;47.4
253;65.0;47.8;6904.0;69.0;;65.0;47.8
254;77.0;48.4;7001.0;70.0;;77.0;48.4
255;49.0;48.6;7001.0;70.0;;49.0;48.6
256;64.0;49.0;7098.0;71.0;;64.0;49.0
257;109.0;49.8;7195.0;72.0;;109.0;49.8
258;47.0;50.2;7292.0;73.0;;47.0;50.2
259;60.0;50.2;7292.0;73.0;;60.0;50.2
260;58.0;50.4;7389.0;74.0;;58.0;50.4
261;58.0;50.2;7389.0;74.0;;58.0;50.2
262;82.0;50.7;7486.0;75.0;;82.0;50.7
263;131.0;51.8;7680.0;77.0;;131.0;51.8
264;75.0;52.2;7680.0;77.0;;75.0;52.2
265;48.0;52.2;7777.0;78.0;;48.0;52.2
266;71.0;52.6;7874.0;79.0;;71.0;52.6
267;72.0;53.2;7874.0;79.0;;72.0;53.2
268;87.0;53.9;7971.0;80.0;;87.0;53.9
269;64.0;54.2;8068.0;81.0;;64.0;54.2
270;89.0;54.9;8165.0;82.0;;89.0;54.9
271;126.0;55.9;8262.0;83.0;;126.0;55.9
272;63.0;56.3;8359.0;84.0;;63.0;56.3
273;58.0;56.7;8359.0;84.0;;58.0;56.7
274;93.0;57.4;8456.0;85.0;;93.0;57.4
275;75.0;58.0;8553.0;86.0;;75.0;58.0
276;98.0;58.7;8650.0;87.0;;98.0;58.7
277;94.0;59.0;8746.0;88.0;;94.0;59.0
278;104.0;59.3;8842.0;89.0;;104.0;59.3
279;102.0;59.9;8938.0;90.0;;102.0;59.9
280;105.0;60.7;9034.0;91.0;;105.0;60.7
281;94.0;60.7;9130.0;92.0;;94.0;60.7
282;107.0;61.5;9226.0;93.0;;107.0;61.5
283;83.0;62.1;9322.0;94.0;;83.0;62.1
284;98.0;62.5;9418.0;95.0;;98.0;62.5
285;127.0;63.2;9610.0;97.0;;127.0;63.2
286;72.0;63.2;9610.0;97.0;;72.0;63.2
287;88.0;63.9;9706.0;98.0;;88.0;63.9
288;126.0;65.0;9898.0;100.0;;126.0;65.0
289;135.0;66.0;9994.0;101.0;;135.0;66.0
290;98.0;66.7;10090.0;102.0;;98.0;66.7
291;133.0;67.7;10186.0;103.0;;133.0;67.7
292;114.0;68.5;10378.0;105.0;;114.0;68.5
293;161.0;69.9;10474.0;106.0;;161.0;69.9
294;117.0;70.7;10570.0;107.0;;117.0;70.7
295;117.0;71.1;10762.0;109.0;;117.0;71.1
296;114.0;72.0;10858.0;110.0;;114.0;72.0
297;154.0;73.1;11050.0;112.0;;154.0;73.1
298;146.0;74.3;11145.0;113.0;;146.0;74.3
299;137.0;74.8;11240.0;114.0;;137.0;74.8
300;134.0;75.8;11430.0;116.0;;134.0;75.8
301;148.0;76.9;11525.0;117.0;;148.0;76.9
302;195.0;78.7;11810.0;120.0;;195.0;78.7
303;160.0;79.8;11905.0;121.0;;160.0;79.8
304;144.0;80.7;12095.0;123.0;;144.0;80.7
305;152.0;81.7;12190.0;124.0;;152.0;81.7
306;139.0;82.6;12380.0;126.0;;139.0;82.6
307;177.0;84.0;12570.0;128.0;;177.0;84.0
308;139.0;85.1;12665.0;129.0;;139.0;85.1
309;132.0;86.2;12760.0;130.0;;132.0;86.2
310;128.0;86.3;12950.0;132.0;;128.0;86.3
311;137.0;87.4;13045.0;133.0;;137.0;87.4
312;157.0;88.6;13235.0;135.0;;157.0;88.6
313;136.0;89.3;13330.0;136.0;;136.0;89.3
314;145.0;90.1;13519.0;138.0;;145.0;90.1
315;134.0;91.0;13613.0;139.0;;134.0;91.0
316;139.0;91.6;13801.0;141.0;;139.0;91.6
317;156.0;92.7;13895.0;142.0;;156.0;92.7
318;120.0;93.6;14083.0;144.0;;120.0;93.6
319;129.0;94.6;14177.0;145.0;;129.0;94.6
320;113.0;95.5;14271.0;146.0;;113.0;95.5
321;125.0;96.2;14459.0;148.0;;125.0;96.2
322;126.0;97.0;14553.0;149.0;;126.0;97.0
